Backend,Benchmark,Minimum,Maximum,Median,Standard Deviation,Coefficient of Variation,Arithmetic Mean
awfy-javascript,permute,0,2,0.0,0.48,1.37,0.35
effekt-javascript,permute,70,191,92.0,16.49,0.17,96.79
effekt-monadic,permute,27,38,29.0,1.49,0.05,29.59
effekt-callcc,permute,2,6,3.0,0.84,0.27,3.13
effekt-lift,permute,38,41,39.0,0.32,0.01,38.98
awfy-javascript,nbody,19,28,20.0,0.75,0.04,20.35
effekt-javascript,nbody,2197,2670,2336.0,62.08,0.03,2342.12
effekt-monadic,nbody,2476,2638,2544.0,23.45,0.01,2536.56
effekt-callcc,nbody,540,605,570.0,9.56,0.02,569.25
effekt-lift,nbody,1902,2081,1953.0,12.37,0.01,1952.83
awfy-javascript,list,0,1,0.0,0.16,5.33,0.03
effekt-javascript,list,6,17,10.0,1.22,0.12,9.94
effekt-monadic,list,0,2,1.0,0.06,0.06,1.0
effekt-callcc,list,0,3,1.0,0.52,0.37,1.41
effekt-lift,list,0,0,0.0,0.0,-1.0,0.0
awfy-javascript,mandelbrot,88,92,88.0,0.47,0.01,88.28
effekt-javascript,mandelbrot,6670,7301,6735.0,52.16,0.01,6740.56
effekt-monadic,mandelbrot,5299,5521,5464.0,48.9,0.01,5448.68
effekt-callcc,mandelbrot,644,724,649.0,4.93,0.01,650.05
effekt-lift,mandelbrot,3851,3904,3860.0,5.2,0.0,3860.57
awfy-javascript,bounce,0,1,0.0,0.16,5.33,0.03
effekt-javascript,bounce,3,22,6.0,1.24,0.22,5.61
effekt-monadic,bounce,1,4,1.0,0.51,0.35,1.46
effekt-callcc,bounce,0,0,0.0,0.0,-1.0,0.0
effekt-lift,bounce,0,2,0.0,0.1,10.0,0.01
awfy-javascript,towers,5,9,6.0,0.67,0.11,6.14
effekt-javascript,towers,390,611,507.0,17.26,0.03,507.06
effekt-callcc,towers,7,17,7.0,1.09,0.15,7.17
awfy-javascript,sieve,2,7,3.0,0.5,0.17,2.88
effekt-javascript,sieve,416,448,420.0,2.97,0.01,421.28
effekt-monadic,sieve,213,217,214.0,0.77,0.0,214.22
effekt-callcc,sieve,10,16,10.0,0.38,0.04,10.04
effekt-lift,sieve,121,124,122.0,0.52,0.0,121.61
awfy-javascript,storage,0,1,0.0,0.3,3.0,0.1
effekt-javascript,storage,0,8,1.0,0.84,1.11,0.76
effekt-monadic,storage,0,1,0.0,0.04,-1.0,0.0
effekt-callcc,storage,0,1,0.0,0.04,-1.0,0.0
effekt-lift,storage,0,0,0.0,0.0,-1.0,0.0
awfy-javascript,queens,0,1,0.0,0.19,4.75,0.04
effekt-javascript,queens,1,9,2.0,0.88,0.43,2.07
effekt-monadic,queens,1,3,1.0,0.1,0.1,1.01
effekt-callcc,queens,0,0,0.0,0.0,-1.0,0.0
effekt-lift,queens,10,14,10.0,0.25,0.02,10.04
